mes_calendario;ipca_focus_ano_pct;selic_focus_pct;spread_selic_menos_ipca_pp;erro_ipca_prev_menos_real_pp;erro_selic_prev_menos_real_pp;desancoragem_centro;desancoragem_absoluta;n_obs;bloco
1;4,14225;6,59375;2,4515000000000002;-2,02775;-0,78125;0,26725;0,7322500000000001;4;2019-2022
2;4,139075;6,75;2,610925;-2,030925;-0,625;0,26407500000000006;0,859075;4;2019-2022
3;4,6366249999999996;6,9375;2,300875;-1,5333750000000002;-0,4375;0,7616249999999999;1,6216249999999999;4;2019-2022
4;4,7048000000000005;7,0;2,2952;-1,4652;-0,375;0,8298000000000001;1,9098000000000002;4;2019-2022
5;4,990675;7,0;2,0093249999999996;-1,1793249999999997;-0,375;1,115675;2,4306750000000004;4;2019-2022
6;4,87635;7,0625;2,18615;-1,29365;-0,3125;1,00135;2,38135;4;2019-2022
7;4,8488500000000005;7,0625;2,21365;-1,32115;-0,3125;0,9738499999999999;2,37385;4;2019-2022
8;4,859225;7,125;2,265775;-1,310775;-0,25;0,9842249999999999;2,434225;4;2019-2022
9;5,0116;7,1875;2,1759;-1,1584;-0,1875;1,1366;2,4166;4;2019-2022
10;5,274325;7,25;1,9756750000000003;-0,8956749999999999;-0,125;1,3993250000000002;2,3443250000000004;4;2019-2022
11;5,848575;7,375;1,526425;-0,32142499999999985;0,0;1,973575;2,4685750000000004;4;2019-2022
12;6,032725;7,375;1,3422749999999997;-0,1372749999999998;0,0;2,157725;2,1927250000000003;4;2019-2022
1;4,81085;12,21875;7,4079;0,5142666666666665;-0,7916666666666666;1,7483499999999998;1,7483499999999998;4;2023-2026
2;4,822324999999999;12,25;7,427675;0,5642999999999998;-0,6666666666666666;1,7598250000000002;1,7598250000000002;4;2023-2026
3;4,949575;12,3125;7,362925000000001;0,5404000000000001;-0,75;1,8870750000000003;1,8870750000000003;4;2023-2026
4;5,0315;12,4375;7,406000000000001;0,5078666666666666;-0,75;1,969;1,969;4;2023-2026
5;4,99045;12,75;7,759550000000001;0,38713333333333316;-0,5;1,92795;1,92795;4;2023-2026
6;4,835125;12,875;8,039875;0,13540000000000005;-0,4166666666666667;1,7726250000000001;1,7726250000000001;4;2023-2026
7;4,6632;12,5;7,836799999999999;0,0932000000000001;-0,5;1,5798666666666668;1,5798666666666668;3;2023-2026
8;4,691;12,416666666666666;7,725666666666666;0,12099999999999983;-0,5833333333333334;1,6076666666666668;1,6076666666666668;3;2023-2026
9;4,6733;12,833333333333334;8,160033333333333;0,10329999999999995;-0,16666666666666666;1,5899666666666665;1,5899666666666665;3;2023-2026
10;4,564333333333333;12,833333333333334;8,269;-0,0056666666666668015;-0,16666666666666666;1,4809999999999999;1,4809999999999999;3;2023-2026
11;4,540166666666667;12,833333333333334;8,293166666666666;-0,029833333333333035;-0,16666666666666666;1,4568333333333336;1,4568333333333336;3;2023-2026
12;4,528533333333333;12,916666666666666;8,388133333333334;-0,04146666666666687;-0,08333333333333333;1,4452;1,4452;3;2023-2026
