trimestre,ano_ref,tri_ref,divulgacao_ibge_aprox,focus_ultima_mediana_pct,focus_ultima_survey_date,focus_n_respondentes,n_surveys_focus,ibge_vol_yoy_trim_pct,ibge_vol_qoq_pct,ibge_vol_acum4_yoy_pct,erro_focus_vs_ibge_yoy_pp
1T/2019,2019,1,2019-06-01,0.54,2019-05-29,62,228,0.9,0.3,1.5,-0.36
2T/2019,2019,2,2019-09-01,0.72,2019-08-28,56,292,1.2,0.6,1.4,-0.48
3T/2019,2019,3,2019-12-01,1.0,2019-11-29,58,359,1.1,0.0,1.2,-0.10000000000000009
4T/2019,2019,4,2020-03-01,1.6,2020-02-28,66,377,1.7,0.9,1.2,-0.09999999999999987
1T/2020,2020,1,2020-06-01,-0.33,2020-05-28,60,375,0.4,-2.3,1.1,-0.73
2T/2020,2020,2,2020-09-01,-10.54,2020-08-31,60,379,-10.1,-8.9,-1.7,-0.4399999999999995
3T/2020,2020,3,2020-12-01,-3.7,2020-11-30,60,381,-3.0,7.9,-2.8,-0.7000000000000002
4T/2020,2020,4,2021-03-01,-1.72,2021-02-26,62,377,-0.3,3.8,-3.3,-1.42
1T/2021,2021,1,2021-06-01,0.645,2021-05-31,22,372,1.7,0.9,-2.9,-1.055
2T/2021,2021,2,2021-09-01,12.7642,2021-08-31,24,376,12.4,-0.7,2.4,0.3642000000000003
3T/2021,2021,3,2021-12-01,4.2532,2021-11-30,25,379,4.2,0.1,4.3,0.05319999999999947
4T/2021,2021,4,2022-03-01,1.194,2022-02-25,34,377,1.5,1.3,4.8,-0.30600000000000005
1T/2022,2022,1,2022-06-01,1.6612,2022-05-31,26,375,1.5,0.7,4.7,0.1612
2T/2022,2022,2,2022-09-01,2.7,2022-08-31,32,408,3.5,1.1,2.7,-0.7999999999999998
3T/2022,2022,3,2022-12-01,3.6,2022-11-30,27,469,4.3,1.0,2.7,-0.6999999999999997
4T/2022,2022,4,2023-03-01,2.2744,2023-02-28,46,503,2.7,0.4,3.0,-0.4256000000000002
1T/2023,2023,1,2023-06-01,3.1,2023-05-31,31,502,4.4,1.4,3.8,-1.3000000000000003
2T/2023,2023,2,2023-09-01,2.625,2023-08-31,24,503,3.9,0.8,3.8,-1.275
3T/2023,2023,3,2023-12-01,2.0243,2023-11-30,26,504,2.4,0.1,3.3,-0.3756999999999997
4T/2023,2023,4,2024-03-01,2.2083,2024-02-29,36,499,2.4,0.3,3.2,-0.19169999999999998
1T/2024,2024,1,2024-06-01,2.12,2024-05-31,57,501,2.5,0.8,2.8,-0.3799999999999999
2T/2024,2024,2,2024-09-01,2.5461,2024-08-30,26,502,3.5,1.7,2.7,-0.9539
3T/2024,2024,3,2024-12-01,3.9,2024-11-29,31,504,4.1,0.8,3.1,-0.19999999999999973
4T/2024,2024,4,2025-03-01,4.0,2025-02-28,39,505,3.6,0.0,3.4,0.3999999999999999
1T/2025,2025,1,2025-06-01,3.2,2025-05-29,57,500,3.1,1.5,3.6,0.10000000000000009
2T/2025,2025,2,2025-09-01,2.241,2025-08-29,22,501,2.4,0.3,3.3,-0.1589999999999998
3T/2025,2025,3,2025-12-01,1.7,2025-11-28,29,504,1.8,0.0,2.7,-0.10000000000000009
4T/2025,2025,4,2026-03-01,1.8,2026-02-27,29,504,1.8,0.1,2.3,0.0
