ano_ref;mes_publicacao_yyyymm;mes_publicacao;survey_date_previsao;selic_focus_pct;reuniao_focus;selic_sgs_pct_aa_aprox;erro_prev_menos_real_pp;n_edicoes_focus_boletim
2021;202101;2021-01;2021-01-25;3,5;R8/2021;9,25;-5,75;4
2021;202102;2021-02;2021-02-22;4,0;R8/2021;9,25;-5,25;4
2021;202103;2021-03;2021-03-29;5,0;R8/2021;9,25;-4,25;5
2021;202104;2021-04;2021-04-26;5,25;R8/2021;9,25;-4,0;4
2021;202105;2021-05;2021-05-31;6,0;R8/2021;9,25;-3,25;5
2021;202106;2021-06;2021-06-28;6,75;R8/2021;9,25;-2,5;4
2021;202107;2021-07;2021-07-26;7,0;R8/2021;9,25;-2,25;4
2021;202108;2021-08;2021-08-30;7,75;R8/2021;9,25;-1,5;5
2021;202109;2021-09;2021-09-27;8,25;R8/2021;9,25;-1,0;4
2021;202110;2021-10;2021-10-25;8,75;R8/2021;9,25;-0,5;4
2021;202111;2021-11;2021-11-29;9,25;R8/2021;9,25;0,0;5
2021;202112;2021-12;2021-12-06;9,25;R8/2021;9,25;0,0;1
