Mes de Referencia (MM/AAAA),Data do Boletim Focus,IPCA Focus - Mediana (%),IPCA IBGE Realizado (%),Erro de Previsao (p.p.),Numero de Respondentes Focus
01/2019,2019-01-28,0.4,0.32,0.08,34
02/2019,2019-02-25,0.35,0.43,-0.08,36
03/2019,2019-03-25,0.51,0.75,-0.24,36
04/2019,2019-04-29,0.6,0.57,0.03,37
05/2019,2019-05-27,0.25,0.13,0.12,58
06/2019,2019-06-24,-0.02,0.01,-0.03,47
07/2019,2019-07-29,0.23,0.19,0.04,81
08/2019,2019-08-26,0.12,0.11,0.0099999999999999,91
09/2019,2019-09-30,0.05,-0.04,0.09,53
10/2019,2019-10-28,0.07,0.1,-0.03,98
11/2019,2019-11-25,0.43,0.51,-0.08,104
12/2019,2019-12-30,1.03,1.15,-0.1199999999999998,46
01/2020,2020-01-27,0.35,0.21,0.1399999999999999,87
02/2020,2020-02-26,0.15,0.25,-0.1,52
03/2020,2020-03-30,0.1,0.07,0.03,54
04/2020,2020-04-27,-0.14,-0.31,0.1699999999999999,39
05/2020,2020-05-25,-0.4,-0.38,-0.02,50
06/2020,2020-06-29,0.25,0.26,-0.01,51
07/2020,2020-07-27,0.37,0.36,0.01,86
08/2020,2020-08-31,0.22,0.24,-0.0199999999999999,79
09/2020,2020-09-28,0.5,0.64,-0.14,51
10/2020,2020-10-26,0.8,0.86,-0.0599999999999999,98
11/2020,2020-11-30,0.75,0.89,-0.14,39
12/2020,2020-12-28,1.21,1.35,-0.1400000000000001,32
01/2021,2021-01-25,0.3,0.25,0.0499999999999999,45
02/2021,2021-02-22,0.68,0.86,-0.1799999999999999,107
03/2021,2021-03-29,1.0,0.93,0.0699999999999999,40
04/2021,2021-04-26,0.35,0.31,0.0399999999999999,96
05/2021,2021-05-31,0.69,0.83,-0.14,57
06/2021,2021-06-28,0.58,0.53,0.0499999999999999,64
07/2021,2021-07-26,0.93,0.96,-0.0299999999999999,97
08/2021,2021-08-30,0.685,0.87,-0.1849999999999999,58
09/2021,2021-09-27,1.2,1.16,0.04,61
10/2021,2021-10-25,0.8319,1.25,-0.4181,101
11/2021,2021-11-29,1.0658,0.95,0.1158000000000001,42
12/2021,2021-12-27,0.66,0.73,-0.0699999999999999,62
01/2022,2022-01-31,0.55,0.54,0.01,107
02/2022,2022-02-21,0.86,1.01,-0.15,94
03/2022,2022-03-28,1.27,1.62,-0.3500000000000001,77
04/2022,2022-04-25,0.9,1.06,-0.16,102
05/2022,2022-05-30,0.58,0.47,0.1099999999999999,45
06/2022,2022-06-27,0.715,0.67,0.0449999999999999,48
07/2022,2022-07-25,-0.66,-0.68,0.02,109
08/2022,2022-08-29,-0.35,-0.36,0.01,63
09/2022,2022-09-26,-0.16,-0.29,0.1299999999999999,91
10/2022,2022-10-31,0.449,0.59,-0.1409999999999999,52
11/2022,2022-11-28,0.55,0.41,0.14,45
12/2022,2022-12-26,0.45,0.62,-0.1699999999999999,95
01/2023,2023-01-30,0.56,0.53,0.03,109
02/2023,2023-02-27,0.77,0.84,-0.0699999999999999,107
03/2023,2023-03-27,0.78,0.71,0.07,94
04/2023,2023-04-24,0.55,0.61,-0.0599999999999999,103
05/2023,2023-05-29,0.35,0.23,0.1199999999999999,70
06/2023,2023-06-26,-0.11,-0.08,-0.03,96
07/2023,2023-07-31,0.075,0.12,-0.045,101
08/2023,2023-08-28,0.27,0.23,0.04,55
09/2023,2023-09-25,0.3646,0.26,0.1045999999999999,92
10/2023,2023-10-30,0.28,0.24,0.04,105
11/2023,2023-11-27,0.29,0.28,0.0099999999999999,48
12/2023,2023-12-26,0.4,0.56,-0.16,105
01/2024,2024-01-29,0.37,0.42,-0.0499999999999999,107
02/2024,2024-02-26,0.75,0.83,-0.0799999999999999,48
03/2024,2024-03-25,0.2,0.16,0.04,95
04/2024,2024-04-29,0.32,0.38,-0.06,51
05/2024,2024-05-27,0.4095,0.46,-0.0505,111
06/2024,2024-06-24,0.34,0.21,0.13,99
07/2024,2024-07-29,0.33,0.38,-0.0499999999999999,107
08/2024,2024-08-26,0.02,-0.02,0.04,103
09/2024,2024-09-30,0.46,0.44,0.02,67
10/2024,2024-10-28,0.52,0.56,-0.04,49
11/2024,2024-11-25,0.24,0.39,-0.15,113
12/2024,2024-12-30,0.534,0.52,0.014,54
01/2025,2025-01-27,0.1355,0.16,-0.0244999999999999,110
02/2025,2025-02-24,1.38,1.31,0.0699999999999998,103
03/2025,2025-03-31,0.56,0.56,0.0,58
04/2025,2025-04-28,0.44,0.43,0.01,58
05/2025,2025-05-26,0.4,0.26,0.14,101
06/2025,2025-06-30,0.21,0.24,-0.03,65
07/2025,2025-07-28,0.34,0.26,0.08,101
08/2025,2025-08-25,-0.16,-0.11,-0.05,107
09/2025,2025-09-29,0.55,0.48,0.07,59
10/2025,2025-10-27,0.15,0.09,0.06,114
11/2025,2025-11-24,0.2,0.18,0.02,92
12/2025,2025-12-29,0.35,0.33,0.0199999999999999,45
01/2026,2026-01-26,0.35,0.33,0.0199999999999999,109
02/2026,2026-02-23,0.44,0.7,-0.2599999999999999,114
03/2026,2026-03-30,0.7,0.88,-0.18,69
04/2026,2026-04-27,0.72,0.67,0.0499999999999999,103
05/2026,2026-05-25,0.47,0.58,-0.1099999999999999,120
