ref_yyyymm;survey_date_previsao;ipca_focus_med_mensal_pct;ipca_ibge_mensal_pct;erro_prev_menos_real_pp;ipca_focus_mensal_nresp
201901;2019-01-02;0,38;0,32;0,06;31
201902;2019-01-02;0,44;0,43;0,010000000000000009;31
201903;2019-01-02;0,35;0,75;-0,4;30
201904;2019-01-02;0,39;0,57;-0,17999999999999994;30
201905;2019-01-02;0,32;0,13;0,19;30
201906;2019-01-02;0,24;0,01;0,22999999999999998;29
201907;2019-01-02;0,22;0,19;0,03;29
201908;2019-01-02;0,21;0,11;0,09999999999999999;29
201909;2019-01-02;0,29;-0,04;0,32999999999999996;29
201910;2019-01-02;0,34;0,1;0,24000000000000002;29
201911;2019-01-02;0,36;0,51;-0,15000000000000002;29
201912;2019-01-02;0,45;1,15;-0,7;29
202001;2020-01-02;0,4;0,21;0,19000000000000003;35
202002;2020-01-02;0,4;0,25;0,15000000000000002;35
202003;2020-01-02;0,3;0,07;0,22999999999999998;35
202004;2020-01-02;0,33;-0,31;0,64;34
202005;2020-01-02;0,28;-0,38;0,66;34
202006;2020-01-02;0,2;0,26;-0,06;34
202007;2020-01-02;0,2;0,36;-0,15999999999999998;34
202008;2020-01-02;0,19;0,24;-0,04999999999999999;34
202009;2020-01-02;0,24;0,64;-0,4;33
202010;2020-01-02;0,31;0,86;-0,55;33
202011;2020-01-02;0,25;0,89;-0,64;33
202012;2020-01-02;0,4;1,35;-0,9500000000000001;32
202101;2021-01-04;0,14;0,25;-0,10999999999999999;50
202102;2021-01-04;0,39;0,86;-0,47;50
202103;2021-01-04;0,28;0,93;-0,65;50
202104;2021-01-04;0,3;0,31;-0,010000000000000009;49
202105;2021-01-04;0,2;0,83;-0,6299999999999999;48
202106;2021-01-04;0,21;0,53;-0,32000000000000006;48
202107;2021-01-04;0,22;0,96;-0,74;48
202108;2021-01-04;0,18;0,87;-0,69;47
202109;2021-01-04;0,24;1,16;-0,9199999999999999;47
202110;2021-01-04;0,29;1,25;-0,96;47
202111;2021-01-04;0,29;0,95;-0,6599999999999999;47
202112;2021-01-04;0,46;0,73;-0,26999999999999996;47
202201;2022-01-03;0,44;0,54;-0,10000000000000003;37
202202;2022-01-03;0,71;1,01;-0,30000000000000004;37
202203;2022-01-03;0,45;1,62;-1,1700000000000002;37
202204;2022-01-03;0,48;1,06;-0,5800000000000001;37
202205;2022-01-03;0,13;0,47;-0,33999999999999997;37
202206;2022-01-03;0,3;0,67;-0,37000000000000005;37
202207;2022-01-03;0,41;-0,68;1,09;37
202208;2022-01-03;0,2742;-0,36;0,6342;37
202209;2022-01-03;0,35;-0,29;0,6399999999999999;37
202210;2022-01-03;0,4045;0,59;-0,18549999999999994;36
202211;2022-01-03;0,41;0,41;0,0;36
202212;2022-01-03;0,56;0,62;-0,05999999999999994;36
202301;2023-01-02;0,595;0,53;0,06499999999999995;40
202302;2023-01-02;0,715;0,84;-0,125;40
202303;2023-01-02;0,44;0,71;-0,26999999999999996;39
202304;2023-01-02;0,498;0,61;-0,11199999999999999;39
202305;2023-01-02;0,37;0,23;0,13999999999999999;39
202306;2023-01-02;0,32;-0,08;0,4;39
202307;2023-01-02;0,3256;0,12;0,2056;39
202308;2023-01-02;0,26;0,23;0,03;39
202309;2023-01-02;0,32;0,26;0,06;39
202310;2023-01-02;0,44;0,24;0,2;39
202311;2023-01-02;0,36;0,28;0,07999999999999996;39
202312;2023-01-02;0,5805;0,56;0,020499999999999963;39
202401;2024-01-02;0,36;0,42;-0,06;37
202402;2024-01-02;0,66;0,83;-0,16999999999999993;37
202403;2024-01-02;0,32;0,16;0,16;37
202404;2024-01-02;0,38;0,38;0,0;37
202405;2024-01-02;0,24;0,46;-0,22000000000000003;37
202406;2024-01-02;0,2;0,21;-0,009999999999999981;37
202407;2024-01-02;0,18;0,38;-0,2;37
202408;2024-01-02;0,15;-0,02;0,16999999999999998;37
202409;2024-01-02;0,24;0,44;-0,2;37
202410;2024-01-02;0,32;0,56;-0,24000000000000005;37
202411;2024-01-02;0,28;0,39;-0,10999999999999999;37
202412;2024-01-02;0,48;0,52;-0,040000000000000036;37
202501;2025-01-02;0,0;0,16;-0,16;52
202502;2025-01-02;1,335;1,31;0,02499999999999991;52
202503;2025-01-02;0,4233;0,56;-0,13670000000000004;49
202504;2025-01-02;0,46;0,43;0,030000000000000027;49
202505;2025-01-02;0,3;0,26;0,03999999999999998;49
202506;2025-01-02;0,27;0,24;0,030000000000000027;49
202507;2025-01-02;0,29;0,26;0,02999999999999997;49
202508;2025-01-02;0,2;-0,11;0,31;49
202509;2025-01-02;0,3022;0,48;-0,17779999999999996;49
202510;2025-01-02;0,3874;0,09;0,2974;49
202511;2025-01-02;0,33;0,18;0,15000000000000002;49
202512;2025-01-02;0,56;0,33;0,23000000000000004;49
202601;2026-01-02;0,35;0,33;0,019999999999999962;37
202602;2026-01-02;0,53;0,7;-0,16999999999999993;37
202603;2026-01-02;0,38;0,88;-0,5;37
202604;2026-01-02;0,4;0,67;-0,27;35
202605;2026-01-02;0,2554;0,58;-0,32459999999999994;35
