ref_yyyymm;survey_date_previsao;selic_focus_pct;reuniao_focus;selic_sgs_pct_aa_aprox;erro_prev_menos_real_pp;selic_focus_nresp
201902;2019-02-04;6,5;R1/2019;6,399933278118675;0,10006672188132537;106
201905;2019-05-06;6,5;R3/2019;6,399933278118675;0,10006672188132537;111
201906;2019-06-17;6,5;R4/2019;6,399933278118675;0,10006672188132537;113
201907;2019-07-29;6,25;R5/2019;6,399933278118675;-0,14993327811867463;106
201909;2019-09-16;5,5;R6/2019;5,399947466088717;0,10005253391128299;108
201910;2019-10-28;5,0;R7/2019;4,900034589700164;0,09996541029983597;112
201912;2019-12-09;4,5;R8/2019;4,400116023050438;0,0998839769495623;104
202002;2020-02-03;4,25;R1/2020;4,149997662787452;0,10000233721254759;107
202005;2020-05-04;3,25;R3/2020;2,9000330861635337;0,3499669138364663;105
202006;2020-06-15;2,25;R4/2020;2,1500824152896225;0,09991758471037748;104
202007;2020-07-27;2,0;R5/2020;2,1500824152896225;-0,15008241528962252;107
202009;2020-09-14;2,0;R6/2020;1,8999411926388765;0,10005880736112349;105
202010;2020-10-26;2,0;R7/2020;1,8999411926388765;0,10005880736112349;111
202012;2020-12-07;2,0;R8/2020;1,8999411926388765;0,10005880736112349;114
202105;2021-05-03;3,5;R3/2021;3,4000915787165464;0,09990842128345356;61
202106;2021-06-14;4,25;R4/2021;4,149997662787452;0,10000233721254759;85
202107;2021-07-26;5,25;R5/2021;4,149997662787452;1,1000023372125476;75
202109;2021-09-20;6,25;R6/2021;6,1501241343216995;0,09987586567830053;93
202110;2021-10-25;7,5;R7/2021;7,649924620282245;-0,14992462028224463;98
202112;2021-12-06;9,25;R8/2021;9,14993146517089;0,10006853482910927;82
202205;2022-05-02;12,75;R3/2022;12,649937271499523;0,10006272850047715;84
202206;2022-06-13;13,25;R4/2022;13,149860316976113;0,10013968302388676;74
202207;2022-07-25;13,75;R5/2022;13,149860316976113;0,6001396830238868;90
202209;2022-09-19;13,75;R6/2022;13,649989315282562;0,10001068471743757;83
202210;2022-10-24;13,75;R7/2022;13,649989315282562;0,10001068471743757;78
202212;2022-12-05;13,75;R8/2022;13,649989315282562;0,10001068471743757;77
202305;2023-05-02;13,75;R3/2023;13,649989315282562;0,10001068471743757;87
202306;2023-06-19;13,75;R4/2023;13,649989315282562;0,10001068471743757;102
202307;2023-07-31;13,5;R5/2023;13,649989315282562;-0,14998931528256243;89
202309;2023-09-18;12,75;R6/2023;12,649937271499523;0,10006272850047715;103
202310;2023-10-30;12,25;R7/2023;12,649937271499523;-0,39993727149952285;91
202312;2023-12-11;11,75;R8/2023;11,649931856340622;0,100068143659378;93
202405;2024-05-06;10,5;R3/2024;10,400113309764913;0,09988669023508656;95
202406;2024-06-17;10,5;R4/2024;10,400113309764913;0,09988669023508656;101
202407;2024-07-29;10,5;R5/2024;10,400113309764913;0,09988669023508656;85
202409;2024-09-16;10,75;R6/2024;10,650127826691946;0,09987217330805365;102
202410;2024-10-28;11,25;R7/2024;10,650127826691946;0,5998721733080536;37
202412;2024-12-09;12,0;R8/2024;12,149954341558988;-0,14995434155898835;101
202505;2025-05-05;14,75;R3/2025;14,649931856394517;0,10006814360548333;94
202506;2025-06-16;14,75;R4/2025;14,899981434569277;-0,14998143456927693;96
202507;2025-07-28;15,0;R5/2025;14,899981434569277;0,10001856543072307;81
202509;2025-09-15;15,0;R6/2025;14,899981434569277;0,10001856543072307;101
202510;2025-10-27;15,0;R7/2025;14,899981434569277;0,10001856543072307;93
202512;2025-12-08;15,0;R8/2025;14,899981434569277;0,10001856543072307;82
202606;2026-06-08;14,25;R4/2026;14,150020022937992;0,09997997706200756;50
