ano;dbgg_realizado;pib_nominal;primario_realizado;primario_estrutural;g_nominal;custo_implicito
2018;75,27;7004140999893,37;-1,65;-1,65;;
2019;74,44;7389130999453,28;-1,2;-1,2;0,054966055018848214;0.026514067617648962
2020;86,94;7609597000575,82;-9,79;-2,99;0,029836526262540408;0.06732788824764913
2021;77,31;9012141999284,48;-0,39;-0,39;0,18431265132733432;0.04781837060154759
2022;71,68;10079676679176,0;0,55;0,55;0,11845515527565764;0.04496204715509955
2023;73,83;10943344667905,0;-2,41;-2,41;0,08568409644659392;0.08174606819497376
2024;76,27;11779250581628,3;-0,37;-0,37;0,07638486578741088;0.10656388071602985
2025;78,64;12738565613881,1;-0,45;-0,45;0,0814410921649813;0.10866499274131236
2026;80,86;13566572378783,37;0,0;0,0;0,065;0.095
2027;83,13;14448399583404,29;0,0;0,0;0,065;0.095
2028;85,47;15387545556325,57;0,0;0,0;0,065;0.095
2029;87,88;16387736017486,73;0,0;0,0;0,065;0.095
2030;90,36;17452938858623,36;0,0;0,0;0,065;0.095
